bil,peringkatSekolah,ppd,kodSekolah,namaSekolah,alamatSurat,poskodSurat,bandarSurat,negeri,noTelefon,noFax,formattedAddress,latitude,longitude,neighborhood,establishment,administrativeLevels,administrativeLevelsShort,streetName,city,country,countryCode,zipcode,provider,streetNumber
1291,Rendah,PPD HULU SELANGOR,BBA5026,SK BANDAR SUNGAI BUAYA,BANDAR SUNGAI BUAYA,48010,RAWANG,SELANGOR,360284358,360284093,"Bandar Baru Sungai Buaya, 48000 Rawang, Selangor, Malaysia",3.374508000000001,101.5326601,Bandar Baru Sungai Buaya,,Selangor,Selangor,,Rawang,Malaysia,MY,48000,google,
1299,Rendah,PPD SABAK BERNAM,BBA6001,SK SERI MAKMUR,JALAN PARIT 1 BARAT,45300,SUNGAI BESAR,SELANGOR,332242224,332242224,"Jalan Parit 1 Barat, 45300 Sungai Besar, Selangor, Malaysia",3.689253,100.981892,,,Selangor,Selangor,Jalan Parit 1 Barat,Sungai Besar,Malaysia,MY,45300,google,
1295,Rendah,PPD HULU SELANGOR,BBA5030,SK BUKIT SENTOSA,"JALAN BUKIT SENTOSA 7,BUKIT SENTOSA,",48300,RAWANG,SELANGOR,360217829,360217929,"7, Jalan Bukit Sentosa 1, Bukit Sentosa, 48300 Rawang, Selangor, Malaysia",3.4023429,101.5608634,Bukit Sentosa,,Selangor,Selangor,Jalan Bukit Sentosa 1,Rawang,Malaysia,MY,48300,google,7
1301,Rendah,PPD SABAK BERNAM,BBA6003,SK SIMPANG LIMA,SIMPANG LIMA,45300,SUNGAI BESAR,SELANGOR,332243342,332241249,"Simpang Lima, 45400 Sungai Besar, Selangor, Malaysia",3.619105,101.0558311,Simpang Lima,,Selangor,Selangor,,Sungai Besar,Malaysia,MY,45400,google,
1302,Rendah,PPD SABAK BERNAM,BBA6004,SK PANCHANG PEDENA,JALAN LAMA KUALA SELANGOR,45300,SUNGAI BESAR,SELANGOR,332241576,332241576,"D Muara Dorani Marine Parks, Jalan Lama Kuala Selangor, 45300, Sungai Besar, Selangor, 45300, Malaysia",3.637974899999999,101.0176292,,,,,,,Malaysia,MY,45300,google,
1305,Rendah,PPD SABAK BERNAM,BBA6007,SK PARIT 6,PARIT 6 BARAT,45300,SUNGAI BESAR,SELANGOR,332243953,332243953,"Parit 6 Barat, 45300, Malaysia",3.712548999999999,101.006638,,,,,,,Malaysia,MY,45300,google,
1303,Rendah,PPD SABAK BERNAM,BBA6005,SK SG LIMAU,KAMPUNG SUNGAI LIMAU,45300,SUNGAI BESAR,SELANGOR,332243320,332243320,"Kampung Sungai Limau, 45400 Sungai Besar, Selangor, Malaysia",3.655518,101.0103509,Kampung Sungai Limau,,Selangor,Selangor,,Sungai Besar,Malaysia,MY,45400,google,
1300,Rendah,PPD SABAK BERNAM,BBA6002,SK SG HJ DORANI,PEKAN SG HJ DORANI,45300,SUNGAI BESAR,SELANGOR,332243967,332243967,"No. 3, Pekan Selasa Lama, Sungai Haji Dorani, Selangor, 45300 Sungai Besar, Malaysia",3.6631083,101.0154891,,,,,,Sungai Besar,Malaysia,MY,45300,google,
1304,Rendah,PPD SABAK BERNAM,BBA6006,SK PARIT 4,PARIT 4 JALAN PEKAN SELASA SUNGAI HAJI DORANI,45300,SUNGAI BESAR,SELANGOR,332246206,332246206,"Jalan Pekan Selasa, Kampung Parit 4 Sungai Haji Dorani, 45400 Sungai Besar, Selangor, Malaysia",3.661986999999999,101.0492258,Kampung Parit 4 Sungai Haji Dorani,,Selangor,Selangor,Jalan Pekan Selasa,Sungai Besar,Malaysia,MY,45400,google,
1306,Rendah,PPD SABAK BERNAM,BBA6008,SK SERI BAHAGIA,PARIT 9,45300,SUNGAI BESAR,SELANGOR,332242453,332242453,"Jalan Parit 9 Timur, Kampung Parit 9 Timur, 45300 Sungai Besar, Selangor, Malaysia",3.7182081,101.0392829,Kampung Parit 9 Timur,,Selangor,Selangor,Jalan Parit 9 Timur,Sungai Besar,Malaysia,MY,45300,google,
1308,Rendah,PPD SABAK BERNAM,BBA6010,SK BAGAN TERAP,KAMPUNG BAGAN TERAP,45300,SUNGAI BESAR,SELANGOR,332165143,332165143,"Kampung Bagan Terap, 45400 Sungai Besar, Selangor, Malaysia",3.725615,101.080831,Kampung Bagan Terap,,Selangor,Selangor,,Sungai Besar,Malaysia,MY,45400,google,
1307,Rendah,PPD SABAK BERNAM,BBA6009,SK TOK KHALIFAH,JALAN SUNGAI PANJANG,45300,SUNGAI BESAR,SELANGOR,332162848,332162848,"Jalan Sungai Panjang, 45300 Sungai Besar, Selangor, Malaysia",3.7075588,101.1895069,,,Selangor,Selangor,Jalan Sungai Panjang,Sungai Besar,Malaysia,MY,45300,google,
1311,Rendah,PPD SABAK BERNAM,BBA6013,SK DOKTOR ABDUL LATIFF,JALAN RAJA CHULAN,45200,SABAK BERNAM,SELANGOR,332161213,332165244,"Jalan Raja Chulan, Pekan Sabak Bernam, 45200 Sabak, Selangor, Malaysia",3.7703992,100.9854913,Pekan Sabak Bernam,,Selangor,Selangor,Jalan Raja Chulan,Sabak,Malaysia,MY,45200,google,
1309,Rendah,PPD SABAK BERNAM,BBA6011,SK PARIT 13,JALAN PARIT 13 BAN 2 SUNGAI NIBONG,45400,SEKINCHAN,SELANGOR,332246916,332246916,"Jalan Tali Air 13 Ban 3, Kampung Parit 13, 45400 Sekichan, Selangor, Malaysia",3.6203175,101.0861254,Kampung Parit 13,,Selangor,Selangor,Jalan Tali Air 13 Ban 3,Sekichan,Malaysia,MY,45400,google,
1313,Rendah,PPD SABAK BERNAM,BBA6015,SK KG BAHARU,"JALAN HAJI SAIE,KAMPUNG BAHARU",45200,SABAK BERNAM,SELANGOR,332162033,332162033,,,,,,,,,,,,,,
1315,Rendah,PPD SABAK BERNAM,BBA6017,SK SEKENDI,"KM 7,JALAN SEKENDI,",45200,SABAK BERNAM,SELANGOR,332163468,332163468,,,,,,,,,,,,,,
1314,Rendah,PPD SABAK BERNAM,BBA6016,SK TUN DOKTOR ISMAIL,TEBUK PULAI,45200,SABAK BERNAM,SELANGOR,60332162379,60332162379,"No 2, Jalan Melati Batu 3, Tebuk Pulai, 45200, Sabak Bernam, Selangor, 45200, Malaysia",3.731552,100.976329,,,,,,,Malaysia,MY,45200,google,
1312,Rendah,PPD SABAK BERNAM,BBA6014,SK BATU 38,KAMPUNG BATU 38,45200,SABAK BERNAM,SELANGOR,332161219,332161219,"Selangor, 45200 Sabak, Malaysia",3.7344378,100.9380277,,,,,,Sabak,Malaysia,MY,45200,google,
1310,Rendah,PPD SABAK BERNAM,BBA6012,SK LOBOK PUSING,"JLN MASJID, KG LUBOK PUSING",45300,SUNGAI BESAR,SELANGOR,332164810,332164810,"B53, Selangor, 45300 Sungai Besar, Malaysia",3.662982,100.995921,,,,,,Sungai Besar,Malaysia,MY,45300,google,
1318,Rendah,PPD SABAK BERNAM,BBA6020,SK SUNGAI TENGAR,KG SG TENGAR,45100,SG AIR TAWAR,SELANGOR,332138350,332138350,"Kampung Sungai Air Tawar, Selangor Darul Ehsan, Kampung Sungai Tengar, 45100 Sabak, Selangor, Malaysia",3.826574,100.868174,Kampung Sungai Tengar,,Selangor,Selangor,,Sabak,Malaysia,MY,45100,google,
1317,Rendah,PPD SABAK BERNAM,BBA6019,SK PARIT BAHARU,"JALAN BESAR, KAMPUNG PARIT BAHARU",45100,SUNGAI AIR TAWAR,SELANGOR,332136971,332138118,"No. 50, Jalan Besar Parit Baru, Selangor, 45100 Sungai Air Tawar, Malaysia",3.818695,100.86783,,,,,,Sungai Air Tawar,Malaysia,MY,45100,google,
1319,Rendah,PPD SABAK BERNAM,BBA6021,SK SERI MAWAR,JALAN SEKOLAH,45100,SUNGAI AIR TAWAR,SELANGOR,60332138035,60332138035,"Jalan Sekolah, Kampung Baharu Sungai Nireh, 45400 Sungai Ayer Tawar, Selangor, Malaysia",3.8403982,100.9046717,Kampung Baharu Sungai Nireh,,Selangor,Selangor,Jalan Sekolah,Sungai Ayer Tawar,Malaysia,MY,45400,google,
1320,Rendah,PPD SABAK BERNAM,BBA6022,SK TEBOK JAWA,"JALAN TEBOK JAWA, KG. TEBOK JAWA",45200,SABAK BERNAM,SELANGOR,332163144,332163144,"Jalan Kampung Tebuk Jawa, Kampung Tebuk Jawa, 45200 Sabak, Selangor, Malaysia",3.7794962,100.9127358,Kampung Tebuk Jawa,,Selangor,Selangor,Jalan Kampung Tebuk Jawa,Sabak,Malaysia,MY,45200,google,
1316,Rendah,PPD SABAK BERNAM,BBA6018,SK SIMPANG 4 BNO,"SIMPANG 4, BAGAN NAKHODA OMAR,",45200,SABAK BERNAM,SELANGOR,332136161,332136161,"Kampung Simpang Empat Bagan Nakhoda Omar, 45400 Sabak, Selangor, Malaysia",3.776597,100.8805928,Kampung Simpang Empat Bagan Nakhoda Omar,,Selangor,Selangor,,Sabak,Malaysia,MY,45400,google,
1322,Rendah,PPD SABAK BERNAM,BBA6024,SK KAMPONG BANTING,JLN MASJID KG BANTING,45200,SABAK BERNAM,SELANGOR,332162085,332162085,"Jalan Masjid, Kampung Banting, 45200 Sabak, Selangor, Malaysia",3.7589297,100.9240029,Kampung Banting,,Selangor,Selangor,Jalan Masjid,Sabak,Malaysia,MY,45200,google,
1321,Rendah,PPD SABAK BERNAM,BBA6023,SK SAPINTAS,"BATU 4, KG SAPINTAS",45200,SABAK BERNAM,SELANGOR,332164648,332164648,"Jalan Sekolah, Kampung Sepintas Sabak Bernam, 45200, Malaysia",3.7798,101.03,,,,,,,Malaysia,MY,45200,google,
1324,Rendah,PPD SABAK BERNAM,BBA6026,SK TELUK RU,JALAN PARIT BARU,45200,SABAK BERNAM,SELANGOR,332138168,332138168,"Jalan Parit Baru / Sungai Tengar, 45400, Selangor, Malaysia",3.786296,100.8635168,,,Selangor,Selangor,Jalan Parit Baru / Sungai Tengar,,Malaysia,MY,45400,google,
1325,Rendah,PPD SABAK BERNAM,BBA6027,SK SERI CEMPAKA,SG APONG,45100,SG. AIR TAWAR,SELANGOR,332137011,332137011,"Jalan Beting Kepah, Kampung Sungai Apong, Selangor, 45100 Sungai Air Tawar, Malaysia",3.792794,100.829593,,,,,,Sungai Air Tawar,Malaysia,MY,45100,google,
1326,Rendah,PPD SABAK BERNAM,BBA6028,SK SG LEMAN,TALI AIR 7,45400,SEKINCHAN,SELANGOR,332412980,332412980,"Jalan Tali Air 7, 45400 Sekinchan, Selangor, Malaysia",3.5451617,101.1099796,,,Selangor,Selangor,Jalan Tali Air 7,Sekinchan,Malaysia,MY,45400,google,
1327,Rendah,PPD SABAK BERNAM,BBA6029,SK PARIT 9,JALAN PARIT 9,45400,SEKINCHAN,SELANGOR,332412028,332412028,"Jalan Parit 9, 45400 Sekinchan, Selangor, Malaysia",3.5612378,101.0998732,,,Selangor,Selangor,Jalan Parit 9,Sekinchan,Malaysia,MY,45400,google,
1323,Rendah,PPD SABAK BERNAM,BBA6025,SK TANJONG JAWA,JALAN DUNGUN,45200,SABAK BERNAM,SELANGOR,60332161482,TIADA,"45, Jalan Haji Mohd, 45200, Sabak Bernam, Selangor, 45200, Malaysia",3.768428,100.981814,,,,,,,Malaysia,MY,45200,google,
1328,Rendah,PPD SABAK BERNAM,BBA6030,SK PASIR PANJANG,PASIR PANJANG,45400,SEKINCHAN,SELANGOR,332410582,332410582,"Pasir Panjang, 45400 Sekinchan, Selangor, Malaysia",3.563632,101.076889,Pasir Panjang,,Selangor,Selangor,,Sekinchan,Malaysia,MY,45400,google,
1329,Rendah,PPD SABAK BERNAM,BBA6031,SK SUNGAI NIBONG,JALAN PARIT 12,45400,SEKINCHAN,SELANGOR,60332411189,60332411189,"Jalan Parit Pakat Tali Air 11 Ban 1, 45400 Sekinchan, Selangor, Malaysia",3.605407899999999,101.0868842,,,Selangor,Selangor,Jalan Parit Pakat Tali Air 11 Ban 1,Sekinchan,Malaysia,MY,45400,google,
1330,Rendah,PPD SABAK BERNAM,BBA6032,SK BINJAI JAYA,PARIT 16  SUNGAI PANJANG,45300,SUNGAI BESAR,SELANGOR,60332162208,60332161801,"Parit 16, 45400 Sungai Besar, Selangor, Malaysia",3.720838,101.1198859,Parit 16,,Selangor,Selangor,,Sungai Besar,Malaysia,MY,45400,google,
1331,Rendah,PPD GOMBAK,BBA7101,SK SELAYANG BARU (2),"JALAN 42, SELAYANG BARU",68100,BATU CAVES,SELANGOR,361386333,361362333,"Jalan 42, Selayang Baru, 68100 Batu Caves, Selangor, Malaysia",3.2537068,101.665716,Selayang Baru,,Selangor,Selangor,Jalan 42,Batu Caves,Malaysia,MY,68100,google,
1333,Rendah,PPD GOMBAK,BBA7103,SK (2) TAMAN KERAMAT,JALAN ENGGANG TIMUR 1,54200,KUALA LUMPUR,SELANGOR,342573546,342568867,"Jalan Enggang Timur 1, Taman Keramat, 54200 Kuala Lumpur, Selangor, Malaysia",3.1692903,101.7419622,Taman Keramat,,Selangor,Selangor,Jalan Enggang Timur 1,Kuala Lumpur,Malaysia,MY,54200,google,
1332,Rendah,PPD GOMBAK,BBA7102,SK (2) TAMAN SELAYANG,JALAN SG TUA,68100,BATU CAVES,SELANGOR,361882337,361850849,"Jalan Sungai Tua, 68100 Batu Caves, Selangor, Malaysia",3.2523311,101.6753823,,,Selangor,Selangor,Jalan Sungai Tua,Batu Caves,Malaysia,MY,68100,google,
1334,Rendah,PPD GOMBAK,BBA7201,SK HULU KELANG,JALAN HULU KELANG,68000,AMPANG,SELANGOR,341078662,341078662,"Jln Hulu Kelang, Taman Sri Ukay, 68000 Ampang Jaya, Selangor, Malaysia",3.1745363,101.7576589,Taman Sri Ukay,,Selangor,Selangor,Jalan Hulu Kelang,Ampang Jaya,Malaysia,MY,68000,google,
1344,Rendah,PPD GOMBAK,BBA7211,SK TAMAN KERAMAT (1),JALAN ENGGANG TIMUR 1,54200,KUALA LUMPUR,SELANGOR,342561317,342515921,"Jalan Enggang Timur 1, Taman Keramat, 54200 Kuala Lumpur, Selangor, Malaysia",3.1692903,101.7419622,Taman Keramat,,Selangor,Selangor,Jalan Enggang Timur 1,Kuala Lumpur,Malaysia,MY,54200,google,
1337,Rendah,PPD GOMBAK,BBA7204,SK GOMBAK UTARA,"KM11, JALAN GOMBAK",53100,KUALA LUMPUR,SELANGOR,361893546,361893546,"Km 11, Jalan Gombak, Batu 7 Gombak, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2390507,101.7145408,Batu 7 Gombak,,Wilayah Persekutuan Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,Jalan Gombak,Kuala Lumpur,Malaysia,MY,53100,google,Km 11
1339,Rendah,PPD GOMBAK,BBA7206,SK KEPONG,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA,52100,KUALA LUMPUR,SELANGOR,362756264,362773045,"Jalan Frim, Kepong, 52109 Kuala Lumpur, Selangor, Malaysia",3.2353327,101.6331096,Kepong,,Selangor,Selangor,Jalan Frim,Kuala Lumpur,Malaysia,MY,52109,google,
1335,Rendah,PPD GOMBAK,BBA7202,SK KLANG GATE,JALAN GENTING KLANG,53100,KUALA LUMPUR,SELANGOR,341084646,341078125,"Jalan Prima Setapak 1, Setapak, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1972491,101.7117262,Setapak,,Wilayah Persekutuan Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,Jalan Prima Setapak 1,Kuala Lumpur,Malaysia,MY,53100,google,
1338,Rendah,PPD GOMBAK,BBA7205,SK SG TUA BAHARU,"JALAN MELATI, KG SG TUA BAHARU",68100,BATU CAVES,SELANGOR,361897052,361874468,"SK SG Tua Baharu, Jalan Melati, Kampung Sungai Tua Bahru, 68100 Batu Caves, Malaysia",3.2550427,101.6740761,Kampung Sungai Tua Bahru,,Batu Caves,Batu Caves,Jalan Melati,Batu Caves,Malaysia,MY,68100,google,
1336,Rendah,PPD GOMBAK,BBA7203,SK GOMBAK SETIA,PEJABAT POS GOMBAK,53100,KUALA LUMPUR,SELANGOR,361897851,361896167,"Jalan Gombak, Medan Idaman, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2123552,101.7100764,Medan Idaman,,Wilayah Persekutuan Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,Jalan Gombak,Kuala Lumpur,Malaysia,MY,53000,google,
1340,Rendah,PPD GOMBAK,BBA7207,SK RAWANG,JALAN KUALA GARING,48000,RAWANG,SELANGOR,360918453,360918453,"Jalan Kuala Garing, 48000 Rawang, Selangor, Malaysia",3.3273682,101.5615359,,,Selangor,Selangor,Jalan Kuala Garing,Rawang,Malaysia,MY,48000,google,
1345,Rendah,PPD GOMBAK,BBA7212,SK SG BULUH,SK SUNGAI BULOH,47000,SUNGAI BULOH,SELANGOR,361561669,361571926,"Sekolah Kebangsaan Sungai Plong, Jalan Kuala Selangor (Batu 16), 47000, Sungai Buloh, Selangor, Malaysia",3.222389,101.510085,,,,,,,Malaysia,MY,,google,
1342,Rendah,PPD GOMBAK,BBA7209,SK SG SERAI,KUANG,48050,RAWANG,SELANGOR,360371259,360371259,"47000 Kuang, Selangor, Malaysia",3.2576943,101.5501147,,,Selangor,Selangor,,Kuang,Malaysia,MY,47000,google,
1343,Rendah,PPD GOMBAK,BBA7210,SK SG PELONG,SUNGAI PELONG,47000,SUNGAI BULOH,SELANGOR,360383576,360384734,"Sungai Pelong, 47000 Shah Alam, Selangor, Malaysia",3.22677,101.5344659,Sungai Pelong,,Selangor,Selangor,,Shah Alam,Malaysia,MY,47000,google,
1341,Rendah,PPD GOMBAK,BBA7208,SK KUANG,"KM 28, JALAN KUANG",48050,RAWANG,SELANGOR,360383780,360382199,"2453-2, Jalan Kuang Km 28, Kampung Cempedak, Kuang, 48050, Rawang, Selangor, Malaysia",3.2627047,101.5574892,,,,,,,Malaysia,MY,,google,
1346,Rendah,PPD GOMBAK,BBA7213,SK TAMAN EHSAN,"JALAN  25 ,  DESA  JAYA",52100,KUALA  LUMPUR,SELANGOR,362762768,362774121,"Jalan 25, Taman Ehsan, 52100 Kuala Lumpur, Selangor, Malaysia",3.2197218,101.6294681,Taman Ehsan,,Selangor,Selangor,Jalan 25,Kuala Lumpur,Malaysia,MY,52100,google,
1348,Rendah,PPD GOMBAK,BBA7215,SK (1) TAMAN SELAYANG,JALAN SUNGAI TUA,68100,BATU CAVES,SELANGOR,361898813,361898813,"Jalan Sungai Tua, 68100 Batu Caves, Selangor, Malaysia",3.2523311,101.6753823,,,Selangor,Selangor,Jalan Sungai Tua,Batu Caves,Malaysia,MY,68100,google,
1357,Rendah,PPD GOMBAK,BBA7226,SK SUNGAI KERTAS,JALAN SUNGAI TUA,68100,BATU CAVES,SELANGOR,361851767,361888441,"Jalan Sungai Tua, 68100 Batu Caves, Selangor, Malaysia",3.2523311,101.6753823,,,Selangor,Selangor,Jalan Sungai Tua,Batu Caves,Malaysia,MY,68100,google,
1350,Rendah,PPD GOMBAK,BBA7217,SK LEMBAH KERAMAT,"JLN AU 5C/6, LEMBAH KERAMAT",54200,KUALA LUMPUR,SELANGOR,341082520,341072521,"Jalan AU 5c/6, Taman Lembah Keramat, 54200 Kuala Lumpur, Selangor, Malaysia",3.2041792,101.7567755,Taman Lembah Keramat,,Selangor,Selangor,Jalan AU 5c/6,Kuala Lumpur,Malaysia,MY,54200,google,
1351,Rendah,PPD GOMBAK,BBA7219,SK SELAYANG JAYA,"JALAN SJ 24, TAMAN SELAYANG JAYA",68100,BATU CAVES,SELANGOR,361385270,361369782,"Jalan SJ 24, Taman Selayang Jaya, 68100 Batu Caves, Selangor, Malaysia",3.2363357,101.6493833,Taman Selayang Jaya,,Selangor,Selangor,Jalan SJ 24,Batu Caves,Malaysia,MY,68100,google,
1347,Rendah,PPD GOMBAK,BBA7214,SK TAMAN MELAWATI,"JALAN F-13, TAMAN MELAWATI",53100,KUALA LUMPUR,SELANGOR,341078763,341055169,"Jalan F 13, Taman Melawati, 53100 Kuala Lumpur, Selangor, Malaysia",3.2248671,101.7477016,Taman Melawati,,Selangor,Selangor,Jalan F 13,Kuala Lumpur,Malaysia,MY,53100,google,
1353,Rendah,PPD GOMBAK,BBA7221,SK TAMAN SELASIH,TAMAN SELASIH FASA 2,68100,BATU CAVES,SELANGOR,361880307,361880307,"Taman Selasih Fasa II, 68100 Batu Caves, Selangor, Malaysia",3.2296501,101.6961551,Taman Selasih Fasa II,,Selangor,Selangor,,Batu Caves,Malaysia,MY,68100,google,
1349,Rendah,PPD GOMBAK,BBA7216,SK TAMAN SERI GOMBAK,"JALAN SG 1/1, TAMAN SERI GOMBAK",68100,BATU CAVES,SELANGOR,361894886,361894886,"Jalan SG 1/1, Taman Sri Gombak, 68100 Batu Caves, Selangor, Malaysia",3.2430477,101.6992936,Taman Sri Gombak,,Selangor,Selangor,Jalan SG 1/1,Batu Caves,Malaysia,MY,68100,google,
1352,Rendah,PPD GOMBAK,BBA7220,SK BANDAR BARU SELAYANG,BANDAR BARU SELAYANG,68100,BATU CAVES,SELANGOR,361381802,361366937,"68100 Selayang, Selangor, Malaysia",3.263739,101.6538245,,,Selangor,Selangor,,Selayang,Malaysia,MY,68100,google,
1359,Rendah,PPD GOMBAK,BBA7228,SK SUNGAI PUSU,"KM.11, JALAN GOMBAK",53100,GOMBAK,SELANGOR,361862639,361862639,"Km 11, Jalan Gombak, Batu 7 Gombak, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2390507,101.7145408,Batu 7 Gombak,,Wilayah Persekutuan Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,Jalan Gombak,Kuala Lumpur,Malaysia,MY,53100,google,Km 11
1358,Rendah,PPD GOMBAK,BBA7227,SK TAMAN SAMUDRA,"JALAN SAMUDRA BARAT 4, TAMAN SAMUDRA",68100,BATU CAVES,SELANGOR,361866649,361866649,"Jalan Samudera Barat 4, Taman Samudra, 68100 Batu Caves, Selangor, Malaysia",3.2340277,101.6928718,Taman Samudra,,Selangor,Selangor,Jalan Samudera Barat 4,Batu Caves,Malaysia,MY,68100,google,
1356,Rendah,PPD GOMBAK,BBA7225,SK SELAYANG UTAMA,"JALAN SU40, TAMAN SELAYANG UTAMA",68100,BATU CAVES,SELANGOR,361364020,361202384,"Jalan SU 40, Taman Selayang Utama, 68100 Batu Caves, Selangor, Malaysia",3.2386851,101.6408397,Taman Selayang Utama,,Selangor,Selangor,Jalan SU 40,Batu Caves,Malaysia,MY,68100,google,
1354,Rendah,PPD GOMBAK,BBA7222,SK TAMAN PERMATA,"JALAN PERMATA 9,TAMAN PERMATA, HULU KELANG",53300,KUALA LUMPUR,SELANGOR,341077259,341087275,"Jalan Permata 9, Taman Permata, 53300 Kuala Lumpur, Selangor, Malaysia",3.2048251,101.7500866,Taman Permata,,Selangor,Selangor,Jalan Permata 9,Kuala Lumpur,Malaysia,MY,53300,google,
1355,Rendah,PPD GOMBAK,BBA7224,SK TAMAN MELAWATI 2,TAMAN MELAWATI,53100,KUALA  LUMPUR,SELANGOR,341086619,341062591,"Taman Melawati, Kuala Lumpur, Selangor, Malaysia",3.209652,101.7518389,Taman Melawati,,Selangor,Selangor,,Kuala Lumpur,Malaysia,MY,,google,
1367,Rendah,PPD GOMBAK,BBA7236,SK TAMAN DESA 2,BANDAR COUNTRY HOMES,48000,RAWANG,SELANGOR,360917918,360927301,"Bandar Country Homes, 48000 Rawang, Selangor, Malaysia",3.328037,101.5312471,Bandar Country Homes,,Selangor,Selangor,,Rawang,Malaysia,MY,48000,google,
1361,Rendah,PPD GOMBAK,BBA7230,SK TAMAN DESA,BANDAR COUNTRY HOMES,48000,RAWANG,SELANGOR,360937562,360914582,"Bandar Country Homes, 48000 Rawang, Selangor, Malaysia",3.328037,101.5312471,Bandar Country Homes,,Selangor,Selangor,,Rawang,Malaysia,MY,48000,google,
1363,Rendah,PPD GOMBAK,BBA7232,SK TAMAN BUKIT INDAH,TAMAN BUKIT INDAH,68000,AMPANG,SELANGOR,342808317,342808325,"Taman Bukit Indah, 68000 Ampang Jaya, Selangor, Malaysia",3.153699,101.7748958,Taman Bukit Indah,,Selangor,Selangor,,Ampang Jaya,Malaysia,MY,68000,google,
1364,Rendah,PPD GOMBAK,BBA7233,SK BUKIT RAHMAN PUTRA,BUKIT RAHMAN PUTRA,47000,SUNGAI BULOH,SELANGOR,361562454,361562187,"Bukit Rahman Putra, 47000 Sungai Buloh, Selangor, Malaysia",3.216821,101.5603229,Bukit Rahman Putra,,Selangor,Selangor,,Sungai Buloh,Malaysia,MY,47000,google,
1365,Rendah,PPD GOMBAK,BBA7234,SK SERI KUNDANG,KG MELAYU SERI KUNDANG,48020,RAWANG,SELANGOR,360344816,360344815,"Kampung Melayu Seri Kundang, 48050 Rawang, Selangor, Malaysia",3.2581323,101.5262264,Kampung Melayu Seri Kundang,,Selangor,Selangor,,Rawang,Malaysia,MY,48050,google,
1360,Rendah,PPD GOMBAK,BBA7229,SK TAMAN SETIA,"JALAN AKIK, TAMAN SETIA",53100,KUALA LUMPUR,SELANGOR,361884104,361884107,"Jalan Akik, 53100 Kuala Lumpur, Malaysia",3.2252725,101.7189274,,,,,Jalan Akik,Kuala Lumpur,Malaysia,MY,53100,google,
1362,Rendah,PPD GOMBAK,BBA7231,SK BUKIT RAWANG JAYA,"JALAN BUKIT RAWANG, TAMAN BUKIT RAWANG JAYA",48000,RAWANG,SELANGOR,360935044,360935043,"Jalan Bukit Rawang, Rawang, Selangor, Malaysia",3.3384316,101.5852404,,,Selangor,Selangor,Jalan Bukit Rawang,Rawang,Malaysia,MY,,google,
1370,Rendah,PPD GOMBAK,BBA7239,SK DESA AMANPURI,"PERSIARAN PERDANA , KEPONG",52100,KUALA LUMPUR,SELANGOR,362804744,362804744,"52100, Malaysia",3.2162129,101.6328435,,,,,,,Malaysia,MY,52100,google,
1368,Rendah,PPD GOMBAK,BBA7237,SK BANDAR BARU RAWANG,PERSIARAN PELANGI,48000,RAWANG,SELANGOR,360915707,360915707,"Jalan Pelangi 1, Taman Pelangi, 48000 Rawang, Selangor, Malaysia",3.295169,101.552791,Taman Pelangi,,Selangor,Selangor,Jalan Pelangi 1,Rawang,Malaysia,MY,48000,google,
1366,Rendah,PPD GOMBAK,BBA7235,SK TAMAN SERI GOMBAK 2,JALAN SG 1/1 TAMAN SERI GOMBAK,68100,BATU CAVES,SELANGOR,361858566,361872544,"Jalan SG 1/1, Taman Sri Gombak, 68100 Batu Caves, Selangor, Malaysia",3.2430477,101.6992936,Taman Sri Gombak,,Selangor,Selangor,Jalan SG 1/1,Batu Caves,Malaysia,MY,68100,google,
1376,Rendah,PPD PETALING UTAMA,BBA8102,SK KELANA JAYA (2),JLN SS 5/2,47301,PETALING JAYA,SELANGOR,378768258,378768258,"Jalan SS 5/2, 47301 Petaling Jaya, Selangor, Malaysia",3.1052009,101.6037127,,,Selangor,Selangor,Jalan SS 5/2,Petaling Jaya,Malaysia,MY,47301,google,
1374,Rendah,PPD GOMBAK,BBA7243,SK TAMAN TUN TEJA,"JALAN SEKOLAH TUN TEJA, BATU 16",48000,RAWANG,SELANGOR,360918710,360918714,"Jalan Sekolah Tun Teja, 48000 Rawang, Selangor, Malaysia",3.3033077,101.5886469,,,Selangor,Selangor,Jalan Sekolah Tun Teja,Rawang,Malaysia,MY,48000,google,
1377,Rendah,PPD PETALING UTAMA,BBA8103,SK DAMANSARA JAYA (2),JALAN SS 22/48,47400,PETALING JAYA,SELANGOR,377285420,377285420,"Jalan SS 22/48, 47400 Petaling Jaya, Selangor, Malaysia",3.1257654,101.6170457,,,Selangor,Selangor,Jalan SS 22/48,Petaling Jaya,Malaysia,MY,47400,google,
